verdetto: allowed
dominio: registry-1.docker.io
verdetto: allowed
dominio: auth.docker.io
verdetto: allowed
dominio: bam.nr-data.net
verdetto: allowed
dominio: googleads.g.doubleclick.net
verdetto: allowed
dominio: webexapis.com
verdetto: allowed
dominio: conv-a.wbx2.com
verdetto: allowed
dominio: discord.com
verdetto: allowed
dominio: ssl.gstatic.com
verdetto: allowed
dominio: events.getpostman.com
verdetto: allowed
dominio: array615.prod.do.dsp.mp.microsoft.com
verdetto: allowed
dominio: vscode-sync.trafficmanager.net
verdetto: allowed
dominio: events.launchdarkly.com
verdetto: allowed
dominio: api.peer2profit.global
verdetto: allowed
dominio: play.google.com
verdetto: allowed
dominio: www.youtube.com
verdetto: allowed
dominio: m.media-amazon.com
verdetto: allowed
dominio: images-na.ssl-images-amazon.com
verdetto: allowed
dominio: completion.amazon.com
verdetto: allowed
dominio: www.amazon.com
verdetto: allowed
dominio: github.com
verdetto: allowed
dominio: default.exp-tas.com
verdetto: allowed
dominio: c.go-mpulse.net
verdetto: allowed
dominio: pm-api.truekey.com
verdetto: allowed
dominio: api.umbrella.com
verdetto: allowed
dominio: check.peer2profit.site
verdetto: allowed
dominio: beacons.gcp.gvt2.com
verdetto: allowed
dominio: mercury-connection-partition0-a.wbx2.com
verdetto: allowed
dominio: wdm-a.wbx2.com
verdetto: allowed
dominio: evoke-windowsservices-tas.msedge.net
verdetto: allowed
dominio: assets.msn.com
verdetto: allowed
dominio: files-prod-us-east-2.webexcontent.com
verdetto: allowed
dominio: files-api-a.wbx2.com
verdetto: allowed
dominio: apheleia-k.wbx2.com
verdetto: allowed
dominio: beacons2.gvt2.com
verdetto: allowed
dominio: www.google.com
verdetto: allowed
dominio: clients4.google.com
verdetto: allowed
dominio: usersub-k.wbx2.com
verdetto: allowed
dominio: o1224273.ingest.sentry.io
verdetto: allowed
dominio: events.gw.postman.com
verdetto: allowed
dominio: accounts.youtube.com
verdetto: allowed
dominio: bifrost-https-v10.gw.postman.com
verdetto: allowed
dominio: conv-k.wbx2.com
